,Symbol,Date,Open,High,Low,Close,Vol
30301,EBL,2017-09-10,,,,,"7,963.00"
30326,EBL,2017-09-11,,,,,"4,931.00"
30351,EBL,2017-09-12,,,,,"5,711.00"
30376,EBL,2017-09-13,,,,,"10,841.00"
30401,EBL,2017-09-14,,,,,"7,278.00"
30426,EBL,2017-09-17,,,,,"11,685.00"
30451,EBL,2017-09-18,,,,,"22,228.00"
30476,EBL,2017-09-20,,,,,"22,886.00"
30501,EBL,2017-09-24,,,,,"7,959.00"
30526,EBL,2017-09-25,,,,,"6,754.00"
30551,EBL,2017-09-26,,,,,"5,330.00"
30576,EBL,2017-10-03,,,,,185.00
30601,EBL,2017-10-04,,,,,"4,780.00"
30626,EBL,2017-10-08,,,,,"5,691.00"
30651,EBL,2017-10-09,,,,,"7,219.00"
30676,EBL,2017-10-10,,,,,"10,473.00"
30701,EBL,2017-10-11,,,,,"7,058.00"
30726,EBL,2017-10-12,,,,,"4,484.00"
30751,EBL,2017-10-15,,,,,"2,976.00"
30776,EBL,2017-10-16,,,,,"4,227.00"
30801,EBL,2017-10-17,,,,,"6,138.00"
30826,EBL,2017-10-18,,,,,"5,251.00"
30851,EBL,2017-10-22,,,,,"2,343.00"
30876,EBL,2017-10-23,,,,,"4,095.00"
30901,EBL,2017-10-24,,,,,"3,647.00"
30926,EBL,2017-10-25,,,,,"6,244.00"
30951,EBL,2017-10-29,,,,,"5,153.00"
30976,EBL,2017-10-30,,,,,"6,961.00"
31001,EBL,2017-10-31,,,,,"6,353.00"
31026,EBL,2017-11-01,,,,,"5,515.00"
31051,EBL,2017-11-02,,,,,"5,787.00"
31076,EBL,2017-11-05,,,,,"13,157.00"
31101,EBL,2017-11-06,,,,,"9,961.00"
31126,EBL,2017-11-07,,,,,"9,667.00"
31151,EBL,2017-11-08,,,,,"7,943.00"
31176,EBL,2017-11-09,,,,,"28,790.00"
31201,EBL,2017-11-12,,,,,"7,883.00"
31226,EBL,2017-11-13,,,,,"17,504.00"
31251,EBL,2017-11-14,,,,,"16,191.00"
31276,EBL,2017-11-15,,,,,"11,738.00"
31301,EBL,2017-11-16,,,,,"20,024.00"
31326,EBL,2017-11-19,,,,,"66,387.00"
31351,EBL,2017-11-20,,,,,"23,361.00"
31376,EBL,2017-11-21,,,,,"22,380.00"
31401,EBL,2017-11-22,,,,,"17,057.00"
31426,EBL,2017-11-23,,,,,"16,501.00"
31451,EBL,2017-11-26,,,,,"20,075.00"
31476,EBL,2017-11-27,,,,,"17,294.00"
31501,EBL,2017-11-28,,,,,"7,806.00"
31526,EBL,2017-11-29,,,,,"13,793.00"
31551,EBL,2017-11-30,,,,,"11,548.00"
31576,EBL,2017-12-04,,,,,"13,307.00"
31601,EBL,2017-12-05,,,,,"10,825.00"
31626,EBL,2017-12-06,,,,,"15,965.00"
31651,EBL,2017-12-10,,,,,"10,272.00"
31676,EBL,2017-12-11,,,,,"14,166.00"
31701,EBL,2017-12-12,,,,,"13,706.00"
31726,EBL,2017-12-13,,,,,"10,982.00"
31751,EBL,2017-12-14,,,,,"6,563.00"
31776,EBL,2017-12-17,,,,,"13,697.00"
31801,EBL,2017-12-18,,,,,"18,216.00"
31826,EBL,2017-12-19,,,,,"17,497.00"
31851,EBL,2017-12-20,,,,,"17,818.00"
31876,EBL,2017-12-21,,,,,"16,966.00"
31901,EBL,2017-12-24,,,,,"18,077.00"
31926,EBL,2017-12-26,,,,,"18,844.00"
31951,EBL,2017-12-27,,,,,"66,472.00"
31976,EBL,2017-12-28,816.0,810.0,788.0,798.0,"30,229.00"
32001,EBL,2017-12-31,798.0,799.0,790.0,798.0,"11,109.00"
32026,EBL,2018-01-01,798.0,835.0,800.0,835.0,"17,773.00"
32051,EBL,2018-01-02,835.0,895.0,845.0,861.0,"31,454.00"
32076,EBL,2018-01-03,861.0,878.0,852.0,856.0,"19,211.00"
32101,EBL,2018-01-04,856.0,872.0,851.0,872.0,"10,995.00"
32126,EBL,2018-01-07,872.0,883.0,870.0,875.0,"22,352.00"
32151,EBL,2018-01-08,875.0,895.0,885.0,892.0,"19,212.00"
32176,EBL,2018-01-09,892.0,934.0,899.0,934.0,"24,260.00"
32201,EBL,2018-01-10,934.0,950.0,917.0,922.0,"23,008.00"
32226,EBL,2018-01-14,922.0,920.0,906.0,907.0,"10,305.00"
32251,EBL,2018-01-16,907.0,907.0,885.0,893.0,"10,127.00"
32276,EBL,2018-01-17,893.0,890.0,872.0,883.0,"7,133.00"
32301,EBL,2018-01-21,883.0,894.0,880.0,883.0,"10,307.00"
32326,EBL,2018-01-22,883.0,890.0,876.0,876.0,"7,441.00"
32351,EBL,2018-01-23,876.0,880.0,871.0,872.0,"5,043.00"
32376,EBL,2018-01-24,872.0,872.0,865.0,867.0,"3,635.00"
32401,EBL,2018-01-25,867.0,872.0,862.0,867.0,"8,352.00"
32426,EBL,2018-01-28,867.0,879.0,866.0,873.0,"7,520.00"
32451,EBL,2018-01-29,873.0,878.0,860.0,865.0,"9,402.00"
32476,EBL,2018-01-31,865.0,868.0,860.0,862.0,"7,448.00"
32501,EBL,2018-02-01,862.0,865.0,855.0,863.0,"13,391.00"
32526,EBL,2018-02-04,863.0,875.0,857.0,861.0,"11,593.00"
32551,EBL,2018-02-05,861.0,865.0,854.0,854.0,"6,823.00"
32575,EBL,2018-02-06,854.0,853.0,844.0,845.0,"10,160.00"
32600,EBL,2018-02-07,845.0,854.0,840.0,840.0,"7,983.00"
32624,EBL,2018-02-08,840.0,845.0,838.0,840.0,"9,080.00"
32649,EBL,2018-02-11,840.0,845.0,840.0,842.0,"7,963.00"
32675,EBL,2018-02-12,842.0,844.0,837.0,840.0,"10,560.00"
32700,EBL,2018-02-14,840.0,844.0,837.0,841.0,"6,540.00"
32725,EBL,2018-02-15,841.0,865.0,840.0,860.0,"19,376.00"
32751,EBL,2018-02-18,877.0,894.0,858.0,860.0,"23,017.00"
32776,EBL,2018-02-20,861.0,861.0,845.0,851.0,"6,336.00"
32801,EBL,2018-02-21,851.0,851.0,837.0,841.0,"6,835.00"
32826,EBL,2018-02-22,849.0,849.0,833.0,835.0,"15,944.00"
32851,EBL,2018-02-25,835.0,835.0,825.0,825.0,"6,688.00"
32876,EBL,2018-02-26,835.0,835.0,811.0,817.0,"10,719.00"
32901,EBL,2018-02-27,817.0,825.0,813.0,820.0,"9,851.00"
32926,EBL,2018-02-28,820.0,820.0,800.0,803.0,"15,549.00"
32951,EBL,2018-03-04,789.0,790.0,760.0,770.0,"21,092.00"
32976,EBL,2018-03-05,773.0,785.0,762.0,770.0,"13,393.00"
33001,EBL,2018-03-06,771.0,790.0,750.0,765.0,"16,541.00"
33026,EBL,2018-03-07,773.0,785.0,773.0,780.0,"11,376.00"
33051,EBL,2018-03-11,780.0,780.0,759.0,760.0,"15,425.00"
33076,EBL,2018-03-12,770.0,770.0,741.0,741.0,"20,267.00"
33101,EBL,2018-03-13,745.0,753.0,735.0,735.0,"15,304.00"
33126,EBL,2018-03-14,745.0,755.0,735.0,745.0,"11,898.00"
33151,EBL,2018-03-15,746.0,754.0,731.0,731.0,"11,145.00"
33176,EBL,2018-03-18,735.0,748.0,719.0,737.0,"12,631.00"
33201,EBL,2018-03-19,743.0,743.0,722.0,726.0,"8,964.00"
33226,EBL,2018-03-20,726.0,726.0,710.0,710.0,"13,049.00"
33251,EBL,2018-03-21,710.0,714.0,690.0,693.0,"20,878.00"
33276,EBL,2018-03-22,690.0,705.0,675.0,685.0,"17,464.00"
33301,EBL,2018-03-26,673.0,685.0,650.0,665.0,"18,295.00"
33326,EBL,2018-03-27,660.0,728.0,652.0,715.0,"16,465.00"
33351,EBL,2018-03-28,716.0,743.0,701.0,727.0,"28,643.00"
33376,EBL,2018-03-29,730.0,744.0,730.0,740.0,"17,611.00"
33401,EBL,2018-04-01,742.0,742.0,710.0,727.0,"10,320.00"
33426,EBL,2018-04-02,730.0,730.0,721.0,725.0,"8,258.00"
33451,EBL,2018-04-03,720.0,727.0,720.0,725.0,"10,006.00"
